"Name","Line","source","section","section_order"
"Barret","C'mon newcomer. Follow me.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Biggs","Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Jessie","SOLDIER? Aren't they the enemy?What's he doing with us in AVALANCHE?","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Biggs","Hold it, Jessie. He WAS in SOLDIER.He quit them and now is one of us.Didn't catch your name...","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","...Cloud.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Biggs","Cloud, eh? I'm...","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","I don't care what your names are. Once this job's over... I'm outta here.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","The hell you all doin'!? I thought I told you never to move in a group!Our target's the North Mako Reactor. We'll meet on the bridge in front of it.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","Ex-SOLDIER, huh? Don't trust ya!If you push the Directional button while pushing the [CANCEL] button to run. (earlier marked X)","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Wedge","I'll secure the escape passage. Concentrate on the mission, Cloud.Geez, we're really gonna blow this huge furnace up? This'll be somethin' to see!","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","Yo! This your first time in a reactor?","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","No. After all, I did work for Shinra, y'know.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","The planet's full of Mako energy. People here use it every day.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","I'm not here for a lecture. Let's just hurry.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","That's it! You're comin' with me from now on.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Jessie","Biggs and I got the code for this door.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Biggs","Code deciphered.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Biggs","Think how many of our people risked their lives, just for this code...","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Jessie","Code deciphered.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Jessie","Push that button over there!","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","Little by little the reactors'll drain out all the life. And that'll be that.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","It's not my problem.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Barret","The planet's dyin', Cloud!","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Cloud","The only thing I care about is finishin' this job before security and the Roboguards come.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
"Jessie","Push the [OK] button in front of a ladder to grab on to it. After that, use the [Directional button] to move up and down.","https://www.yinza.com/Fandom/Script/01.html","Sector 1 - The No. 1 Reactor",1
